seqid	organism	genetic_code	moltype	topology	strand
>NC_000001.11	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187361.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187362.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187363.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187364.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187365.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187366.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187367.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187368.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187369.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NC_000002.12	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187370.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187371.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NC_000003.12	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_167215.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NC_000004.12	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_113793.3	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NC_000005.10	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_113948.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NC_000006.12	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NC_000007.14	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NC_000008.11	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NC_000009.12	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187372.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187373.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187374.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187375.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NC_000010.11	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NC_000011.10	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NC_000012.12	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NC_000013.11	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NC_000014.9	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_113796.3	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_167219.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187377.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_113888.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187378.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187379.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187380.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187381.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NC_000015.10	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187382.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NC_000016.10	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187383.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NC_000017.11	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_113930.2	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187384.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187385.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NC_000018.10	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NC_000019.10	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NC_000020.11	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NC_000021.9	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NC_000022.11	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187386.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187387.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187388.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
